name,config,mean,std_dev,min,max
a_white_cat_with_black_spots,Mask_sds_Prune,0.2875,0.0121,0.2532,0.3098
a_white_cat_with_black_spots,Mask_sds_Prune,0.2557,0.0124,0.2295,0.2811
a_wooden_chair,Mask_sds_Prune,0.2965,0.0104,0.2650,0.3142
a_wooden_chair,Mask_sds_Prune,0.3106,0.0082,0.2926,0.3332
a_wooden_sailing_boat_with_a_white_broken_sail_and_blue_cabin,Mask_sds_Prune,0.3117,0.0137,0.2477,0.3337
a_wooden_sailing_boat_with_a_white_broken_sail_and_blue_cabin,Mask_sds_Prune,0.3041,0.0196,0.2531,0.3344
Waly_the_robot_with_a_orange_yellow_rusty_body_and_grey_tracks_head,Mask_sds_Prune,0.3208,0.0127,0.2874,0.3478
Waly_the_robot_with_a_orange_yellow_rusty_body_and_grey_tracks_head,Mask_sds_Prune,0.2914,0.0213,0.2400,0.3294
a_beige_house_with_red_roof_and_black_chimney__so_rounded_by_a_white_picket_fence,Mask_Sil,0.2867,0.0129,0.2414,0.3109
a_beige_house_with_red_roof_and_black_chimney__so_rounded_by_a_white_picket_fence,Mask_Sil,0.2736,0.0127,0.2399,0.3033
a_blue_chair_with_red_armrests,Mask_Sil,0.3399,0.0079,0.3177,0.3569
a_blue_chair_with_red_armrests,Mask_Sil,0.3267,0.0130,0.2564,0.3498
a_dark_gray_fountain_filled_with_water_and_a_golden_centerpiece,Mask_Sil,0.2697,0.0109,0.2427,0.2956
a_dark_gray_fountain_filled_with_water_and_a_golden_centerpiece,Mask_Sil,0.2326,0.0107,0.2135,0.2604
a_gray_elephant,Mask_Sil,0.2640,0.0271,0.2029,0.2993
a_gray_elephant,Mask_Sil,0.2766,0.0218,0.2083,0.3038
a_green_metallic_sniper_rifle_with_black_barrel,Mask_Sil,0.3165,0.0158,0.2651,0.3345
a_green_metallic_sniper_rifle_with_black_barrel,Mask_Sil,0.3164,0.0168,0.2671,0.3339
a_green_tree_on_a_green_field_with_grey_rocks_scatterd_around,Mask_Sil,0.3128,0.0056,0.2962,0.3256
a_green_tree_on_a_green_field_with_grey_rocks_scatterd_around,Mask_Sil,0.2514,0.0143,0.2085,0.2803
a_light_blue_sofa_with_orange_pillows,Mask_Sil,0.3059,0.0334,0.2327,0.3558
a_light_blue_sofa_with_orange_pillows,Mask_Sil,0.3209,0.0166,0.2630,0.3485
a_mat_green_bicycle_with_red_saddle_and_handles,Mask_Sil,0.2704,0.0130,0.2424,0.3024
a_mat_green_bicycle_with_red_saddle_and_handles,Mask_Sil,0.2768,0.0131,0.2337,0.3049
a_red_dragon_on_top_of_a_stone_wall_with_wooden_towers_on_the_side,Mask_Sil,0.3285,0.0348,0.2336,0.3845
a_red_dragon_on_top_of_a_stone_wall_with_wooden_towers_on_the_side,Mask_Sil,0.2951,0.0316,0.2273,0.3441
a_silver_spaceship_with_glowing_orange_thrusters,Mask_Sil,0.2975,0.0184,0.2588,0.3383
a_silver_spaceship_with_glowing_orange_thrusters,Mask_Sil,0.3148,0.0201,0.2744,0.3549
a_white_and_blue_cargo_truck_with_black_tires_and_a_red_cabin,Mask_Sil,0.3161,0.0116,0.2830,0.3412
a_white_and_blue_cargo_truck_with_black_tires_and_a_red_cabin,Mask_Sil,0.3077,0.0160,0.2363,0.3396
a_white_cat_with_black_spots,Mask_Sil,0.2737,0.0123,0.2381,0.2985
a_white_cat_with_black_spots,Mask_Sil,0.2556,0.0130,0.2194,0.2841
a_wooden_chair,Mask_Sil,0.2998,0.0109,0.2630,0.3264
a_wooden_chair,Mask_Sil,0.3105,0.0068,0.2918,0.3249
a_wooden_sailing_boat_with_a_white_broken_sail_and_blue_cabin,Mask_Sil,0.3230,0.0171,0.2609,0.3500
a_wooden_sailing_boat_with_a_white_broken_sail_and_blue_cabin,Mask_Sil,0.3146,0.0169,0.2608,0.3394
Waly_the_robot_with_a_orange_yellow_rusty_body_and_grey_tracks_head,Mask_Sil,0.3169,0.0158,0.2764,0.3451
Waly_the_robot_with_a_orange_yellow_rusty_body_and_grey_tracks_head,Mask_Sil,0.2981,0.0175,0.2562,0.3278
a_beige_house_with_red_roof_and_black_chimney__so_rounded_by_a_white_picket_fence,Mask_Sil_Prune,0.2421,0.0246,0.1955,0.2951
a_beige_house_with_red_roof_and_black_chimney__so_rounded_by_a_white_picket_fence,Mask_Sil_Prune,0.2111,0.0243,0.1543,0.2588
a_blue_chair_with_red_armrests,Mask_Sil_Prune,0.3435,0.0095,0.3126,0.3636
a_blue_chair_with_red_armrests,Mask_Sil_Prune,0.3259,0.0148,0.2598,0.3462
a_dark_gray_fountain_filled_with_water_and_a_golden_centerpiece,Mask_Sil_Prune,0.2609,0.0172,0.2181,0.2926
a_dark_gray_fountain_filled_with_water_and_a_golden_centerpiece,Mask_Sil_Prune,0.2678,0.0140,0.2426,0.3004
a_gray_elephant,Mask_Sil_Prune,0.2552,0.0240,0.2030,0.3023
a_gray_elephant,Mask_Sil_Prune,0.2780,0.0166,0.2342,0.3041
a_green_metallic_sniper_rifle_with_black_barrel,Mask_Sil_Prune,0.3236,0.0171,0.2607,0.3411
a_green_metallic_sniper_rifle_with_black_barrel,Mask_Sil_Prune,0.3146,0.0196,0.2554,0.3345
a_green_tree_on_a_green_field_with_grey_rocks_scatterd_around,Mask_Sil_Prune,0.3061,0.0057,0.2849,0.3222
a_green_tree_on_a_green_field_with_grey_rocks_scatterd_around,Mask_Sil_Prune,0.2617,0.0148,0.2223,0.2916
a_light_blue_sofa_with_orange_pillows,Mask_Sil_Prune,0.2897,0.0487,0.2083,0.3544
a_light_blue_sofa_with_orange_pillows,Mask_Sil_Prune,0.3097,0.0239,0.2600,0.3508
a_mat_green_bicycle_with_red_saddle_and_handles,Mask_Sil_Prune,0.2767,0.0135,0.2319,0.3059
a_mat_green_bicycle_with_red_saddle_and_handles,Mask_Sil_Prune,0.2811,0.0188,0.2198,0.3182
a_red_dragon_on_top_of_a_stone_wall_with_wooden_towers_on_the_side,Mask_Sil_Prune,0.3319,0.0355,0.2482,0.3720
a_red_dragon_on_top_of_a_stone_wall_with_wooden_towers_on_the_side,Mask_Sil_Prune,0.3096,0.0269,0.2341,0.3588
a_silver_spaceship_with_glowing_orange_thrusters,Mask_Sil_Prune,0.2948,0.0113,0.2691,0.3240
a_silver_spaceship_with_glowing_orange_thrusters,Mask_Sil_Prune,0.3213,0.0129,0.2937,0.3537
a_white_and_blue_cargo_truck_with_black_tires_and_a_red_cabin,Mask_Sil_Prune,0.3139,0.0127,0.2610,0.3358
a_white_and_blue_cargo_truck_with_black_tires_and_a_red_cabin,Mask_Sil_Prune,0.3035,0.0114,0.2581,0.3273
a_white_cat_with_black_spots,Mask_Sil_Prune,0.2721,0.0136,0.2306,0.2982
a_white_cat_with_black_spots,Mask_Sil_Prune,0.2589,0.0155,0.2058,0.2913
a_wooden_chair,Mask_Sil_Prune,0.3001,0.0060,0.2832,0.3197
a_wooden_chair,Mask_Sil_Prune,0.3121,0.0086,0.2882,0.3326
a_wooden_sailing_boat_with_a_white_broken_sail_and_blue_cabin,Mask_Sil_Prune,0.3058,0.0200,0.2404,0.3341
a_wooden_sailing_boat_with_a_white_broken_sail_and_blue_cabin,Mask_Sil_Prune,0.2973,0.0143,0.2600,0.3312
Waly_the_robot_with_a_orange_yellow_rusty_body_and_grey_tracks_head,Mask_Sil_Prune,0.3200,0.0142,0.2885,0.3472
Waly_the_robot_with_a_orange_yellow_rusty_body_and_grey_tracks_head,Mask_Sil_Prune,0.2888,0.0182,0.2344,0.3162
